bar,drinker
"Little Elixir Club","Andre Martin"
"Keen Snail Bar","Andre Waage"
"Jealous Fiddle Pub","Andre Waage"
"Jaded Pants Pub","Andre Waage"
"Deep Lantern","Andrea Dube"
"Diamond Turtle Inn","Andrea Dube"
"Spirited Brew Saloon","Andrea Eikleberry"
"Steel Yew","Andrea Eikleberry"
"Steel Elf","Andrea Eikleberry"
"Regular Drum Tavern","Andrea Jefferson"
"Purple Pint Bar and Grille","Andrea Johnson"
"Familiar Pony Tavern","Andrea Lewis"
"Empty Snapdragon Pub","Andrea Lewis"
"Middle Cushion Bar","Andrea Lindsay"
"Needy Mind Tavern","Andrea Mott"
"Loud Elderberry Bar","Andrea Ortiz"
"Fascinated Chick Pub","Andrea Robinson"
"Famous Tiger Pub","Andrea Robinson"
"Fascinated Demon Pub","Andrea Robinson"
"Responsible Chair","Andrea Wideman"
"Regular Drum Tavern","Andrea Wideman"
"Rich Tauren Bar","Andrea Wideman"
"Sudden Dragon Bar","Andree Sykes"
"Sudden Octopus","Andree Sykes"
"Wrong Whip Bar","Andres Butler"
"Ye Olde Lord Bar","Andres Butler"
"Oceanic Knight Inn","Andres Johnson"
"Oceanic Woodpecker Inn","Andres Johnson"
"Organic Buffalo Bar","Andres Johnson"
"Chinese Oak","Andres Sangster"
"Chubby Badger Pub","Andres Sangster"
"Scared Crossbow Tavern","Andrew Block"
"Iron Tigress Inn","Andrew Brennan"
"Interesting Trumpet Inn","Andrew Brennan"
"Natural Leopard","Andrew Brey"
"Mixing Demon Pub","Andrew Brey"
"Molten Ants Bar","Andrew Brey"
"Molten Ants Bar","Andrew Burton"
"Natural Leopard","Andrew Burton"
"Oceanic Woodpecker Inn","Andrew Ciraulo"
"Impossible Fire","Andrew Cruz"
"Incredible Sailboat Pub","Andrew Cruz"
"Responsible Chair","Andrew Day"
"Rich Tauren Bar","Andrew Day"
"Spicy Cats Tavern","Andrew Evans"
"Sour Axe Bar","Andrew Evans"
"Spinning Nomad Ale House","Andrew Evans"
"Mixing Demon Pub","Andrew Frisbie"
"Natural Leopard","Andrew Frisbie"
"Molten Ants Bar","Andrew Frisbie"
"Proud Spiders","Andrew Fuson"
"Psychotic Seadog","Andrew Fuson"
"Purple Pint Bar and Grille","Andrew Fuson"
"Hissing Ocean Bar","Andrew Garhart"
"Hidden Lady Parlor","Andrew Garhart"
"Shouting Snake Inn","Andrew Gomez"
"Shattered Oak","Andrew Gomez"
"Skinny Guitar","Andrew Gomez"
"Poor Bats Inn","Andrew Hao"
"Perfect Rabbit Tavern","Andrew Hao"
"Interesting Trumpet Inn","Andrew Hatfield"
"Iron Tigress Inn","Andrew Hatfield"
"Iron Library Tavern","Andrew Hatfield"
"Drab Parrots Pub","Andrew Hirth"
"Double Swan Tavern","Andrew Hirth"
"Dramatic Crabs","Andrew Hirth"
"Natural Leopard","Andrew Hughes"
"Molten Ants Bar","Andrew Hughes"
"Mixing Demon Pub","Andrew Hughes"
"Quickest Doves","Andrew Jones"
"Rainy Lime Tavern","Andrew Jones"
"Peaceful Bison","Andrew Konon"
"Overrated Pigeons Pub","Andrew Konon"
"Parallel Pegasus Bar","Andrew Konon"
"Absent Snow","Andrew Laday"
"Purple Pint Bar and Grille","Andrew Madden"
"Proud Spiders","Andrew Madden"
"Psychotic Seadog","Andrew Madden"
"Spirited Brew Saloon","Andrew Mayfield"
"Mixing Demon Pub","Andrew Mclean"
"Natural Leopard","Andrew Mclean"
"Molten Ants Bar","Andrew Mclean"
"Icky Elephants Tavern","Andrew Mcmaster"
"Impossible Fire","Andrew Mcmaster"
"Incredible Sailboat Pub","Andrew Mcmaster"
"Regular Drum Tavern","Andrew Oldenkamp"
"Twelve Spider Inn","Andrew Petty"
"Uneven Ants Tavern","Andrew Petty"
"Ugliest Pants Tavern","Andrew Petty"
"Wild Hag Bar","Andrew Potter"
"Windy Harp","Andrew Potter"
"Wretched Grape Inn","Andrew Potter"
"Chunky Hawks Tavern","Andrew Pritchett"
"Clean Bed Inn","Andrew Pritchett"
"Clever Child","Andrew Pritchett"
"Teeny Gauntlet Bar","Andrew Roney"
"Thundering Table Inn","Andrew Roney"
"Busy Bachelor Bar","Andrew Sanchez"
"Blue City","Andrew Sanchez"
"Perfect Rabbit Tavern","Andrew Saylor"
"Poor Bats Inn","Andrew Saylor"
"Pleasant Parrot Tavern","Andrew Saylor"
"Sudden Octopus","Andrew Sheridan"
"Sweet And Sour Castle Bar","Andrew Sheridan"
"Organic Buffalo Bar","Andrew Shields"
"Oceanic Knight Inn","Andrew Shields"
"Oceanic Woodpecker Inn","Andrew Shields"
"Steel Yew","Andrew Spivey"
"Steel Elf","Andrew Spivey"
"Spirited Brew Saloon","Andrew Spivey"
"Naughty Bean Inn","Andrew Wilson"
"Natural Squash Tavern","Andrew Wilson"
"Needy Mind Tavern","Andrew Wilson"
"Famous Tiger Pub","Andy Gates"
"Incredible Sailboat Pub","Angel Boden"
"Icky Elephants Tavern","Angel Boden"
"Dizzy Lemon Lounge","Angel Colson"
"Discreet Elderberry Pub","Angel Colson"
"Different Kumquat Pub","Angel Colson"
"Smelly Crane Tavern","Angel Devit"
"Snobbish Jackal Inn","Angel Devit"
"Sore Head","Angel Devit"
"Sudden Dragon Bar","Angel Gillespie"
"Sweet And Sour Castle Bar","Angel Gillespie"
"Sudden Octopus","Angel Gillespie"
"Natural Leopard","Angel Hayden"
"Molten Ants Bar","Angel Hayden"
"Nervous Jaguar Inn","Angel Mcclure"
"New Spider Bar","Angel Mcclure"
"Nervous Mountain Inn","Angel Mcclure"
"Iron Turkey","Angel Mcmillon"
"Lonely Snowdrop","Angel Moss"
"Loud Elderberry Bar","Angel Moss"
"Lively Elf","Angel Moss"
"Unusual Truffle","Angel Post"
"Admiral Benbow Inn","Angel Rotondo"
"Clever Child","Angel Simpson"
"Clean Bed Inn","Angel Simpson"
"Best Stick Tavern","Angel Thomas"
"Best Stick Tavern","Angel Winstead"
"Awful Salmon Bar","Angel Winstead"
"Ye Olde Lord Bar","Angel Wolfe"
"Wrong Whip Bar","Angel Wolfe"
"Amused Lemon Parlor","Angel Wolfe"
"Ivory Lamb Pub","Angela Alexander"
"Itchy Cheetah Bar","Angela Alexander"
"Iron Turkey","Angela Alexander"
"Hoppy Apple Brewhouse","Angela Allred"
"Amused Lemon Parlor","Angela Burback"
"Laughing Elephant Tavern","Angela Delgado"
"Little Elixir Club","Angela Delgado"
"Latino Magpie","Angela Delgado"
"Harsh Flame Tavern","Angela Edelen"
"Gypsy Root Roadhouse","Angela Edelen"
"Rich Tauren Bar","Angela Fransen"
"Courageous Melon","Angela Gentile"
"Crooked Sailor Ale House","Angela Gentile"
"Drab Parrots Pub","Angela Glenn"
"Double Swan Tavern","Angela Glenn"
"Courageous Lyre Bar","Angela Gonzales"
"Crooked Sailor Ale House","Angela Gonzales"
"Iron Library Tavern","Angela Greiner"
"Iron Tigress Inn","Angela Greiner"
"Interesting Trumpet Inn","Angela Greiner"
"Windy Harp","Angela Harding"
"Wretched Grape Inn","Angela Harding"
"Absent Snow","Angela Hill"
"Admiral Benbow Inn","Angela Hill"
"Outrageous Sailboat Inn","Angela Kyle"
"Nervous Jaguar Inn","Angela Liston"
"Nervous Jaguar Inn","Angela Meador"
"New Spider Bar","Angela Meador"
"Nervous Mountain Inn","Angela Meador"
"Amused Lemon Parlor","Angela Mitchell"
"Wrong Whip Bar","Angela Mitchell"
"Ye Olde Lord Bar","Angela Mitchell"
"Fluffy Husband","Angela Ngo"
"Foamy Cave","Angela Ngo"
"Iron Library Tavern","Angela Roberts"
"Interesting Trumpet Inn","Angela Roberts"
"Iron Tigress Inn","Angela Roberts"
"Ye Olde Lord Bar","Angela Samuels"
"Amused Lemon Parlor","Angela Samuels"
"Hungry Vanilla Bean Tavern","Angela Smith"
"Hypnotic Gate Tavern","Angela Smith"
"Double Swan Tavern","Angela Speed"
"Dramatic Crabs","Angela Speed"
"Drab Parrots Pub","Angela Speed"
"Safe Palm Inn","Angela Stroud"
"Scared Crossbow Tavern","Angela Stroud"
"Scary Kiwi","Angela Stroud"
"Rainy Lime Tavern","Angela Sullivan"
"Thundering Table Inn","Angela Williams"
"Triangular Pegasus Inn","Angela Williams"
"Teeny Gauntlet Bar","Angela Williams"
"Armed Pudding Bar","Angela Williamson"
"Atomic Liquors","Angela Williamson"
"Fascinated Chick Pub","Angela Wimbush"
"Fascinated Demon Pub","Angela Wimbush"
"Hidden Table Brewpub","Angelia Bourn"
"Keen Snail Bar","Angelia Crawford"
"Jaded Pants Pub","Angelia Crawford"
"Ugliest Pants Tavern","Angelia Fernandez"
"Uneven Ants Tavern","Angelia Fernandez"
"Twelve Spider Inn","Angelia Fernandez"
"Magnificent Dark Elf Bar","Angelia Todd"
"Middle Cushion Bar","Angelia Todd"
"Natural Leopard","Angelica Brown"
"Crooked Sailor Ale House","Angelina Frazier"
"Courageous Melon","Angelina Frazier"
"Courageous Lyre Bar","Angelina Frazier"
"Twelve Spider Inn","Angelique Leal"
"Brave Olive Pub","Angie Cortez"
"Fascinated Demon Pub","Angie Taylor"
"Famous Tiger Pub","Angie Taylor"
"Fascinated Chick Pub","Angie Taylor"
"Assorted Dandelion Bar","Anh Sanchez"
"Responsible Chair","Anibal Medina"
"Rich Tauren Bar","Anibal Medina"
"Regular Drum Tavern","Anibal Medina"
"Amused Lemon Parlor","Anibal Rigsby"
"Iron Tigress Inn","Anisha Acord"
"Hypnotic Gate Tavern","Anita Boone"
"Hungry Vanilla Bean Tavern","Anita Boone"
"New Spider Bar","Anita Brisbon"
"Latino Magpie","Anita Holmes"
"Little Elixir Club","Anita Holmes"
"Lively Elf","Anita Milliner"
"Lonely Snowdrop","Anita Milliner"
"Naughty Bean Inn","Anita Riley"
"Mixing Demon Pub","Ann Bailey"
"Molten Ants Bar","Ann Bailey"
"Ye Olde Lord Bar","Ann Birmingham"
"Full Guitar","Ann Cameron"
"Gifted Zebra Tavern","Ann Cameron"
Anchor,"Ann Dougherty"
"Admiral Benbow Inn","Ann Dougherty"
"Absent Snow","Ann Dougherty"
"Uneven Ants Tavern","Ann Esquivel"
"Ugliest Pants Tavern","Ann Esquivel"
"Twelve Spider Inn","Ann Esquivel"
"Itchy Cheetah Bar","Ann Fields"
"Natural Leopard","Ann Glatt"
"Molten Ants Bar","Ann Glatt"
"Mixing Demon Pub","Ann Glatt"
"Nimble Stream Pub","Ann Hale"
"Nimble Squash","Ann Hale"
"Nifty Branch Inn","Ann Hale"
"Sweet And Sour Castle Bar","Ann Laliberte"
"Sudden Dragon Bar","Ann Laliberte"
"Interesting Trumpet Inn","Ann Lam"
"Iron Tigress Inn","Ann Lam"
"Iron Library Tavern","Ann Lam"
"Tacky Lyre Pub","Ann Lloyd"
"Swift Angels Pub","Ann Lloyd"
"Best Stick Tavern","Ann Padron"
"Gypsy Root Roadhouse","Ann Shelton"
"Gray City","Ann Shelton"
"Deep Flute Bar","Ann Smith"
"Rainy Lime Tavern","Ann Tyler"
"Iron Tigress Inn","Ann Wagner"
"Sweet And Sour Castle Bar","Ann Wright"
"Sudden Octopus","Ann Wright"
"Sudden Dragon Bar","Ann Wright"
"Spicy Cats Tavern","Anna Austin"
"Spirited Brew Saloon","Anna Brunk"
"Atomic Liquors","Anna Burton"
"Hidden Table Brewpub","Anna Cairns"
"Jaded Pants Pub","Anna Carney"
"Keen Snail Bar","Anna Carney"
"Jealous Fiddle Pub","Anna Carney"
"Foamy Cave","Anna Coggan"
"Fluffy Husband","Anna Coggan"
"Fearless Drum Bar","Anna Coggan"
"Fluffy Husband","Anna Curran"
"Admiral Benbow Inn","Anna Donis"
"Amused Lemon Parlor","Anna Fernandez"
"Ye Olde Lord Bar","Anna Fernandez"
"Laughing Elephant Tavern","Anna Gilbar"
"Latino Magpie","Anna Gilbar"
"Ivory Lamb Pub","Anna Harter"
"Iron Turkey","Anna Harter"
"Itchy Cheetah Bar","Anna Harter"
"Nervous Jaguar Inn","Anna Jennings"
"Nervous Mountain Inn","Anna Jennings"
"Venomous River Inn","Anna Koontz"
"Nervous Jaguar Inn","Anna Lant"
"Chunky Hawks Tavern","Anna Lucero"
"Clever Child","Anna Lucero"
"Gifted Zebra Tavern","Anna Manders"
"Gifted Pillow Inn","Anna Manders"
"Full Guitar","Anna Manders"
"Admiral Benbow Inn","Anna Martinez"
"Middle Cushion Bar","Anna Mercer"
"Hungry Vanilla Bean Tavern","Anna Miller"
"Courageous Melon","Anna Oppenheim"
"Crooked Sailor Ale House","Anna Oppenheim"
"Hot Cup Inn","Anna Pittman"
"Hungry Skunks Bar","Anna Pittman"
"Hoppy Apple Brewhouse","Anna Pittman"
"Spirited Brew Saloon","Anna Rountree"
"Rich Tauren Bar","Anna Tolin"
"Responsible Chair","Anna Tolin"
"Regular Drum Tavern","Anna Tolin"
"Unusual Truffle","Anna Wilson"
"Wicked Stream","Anna Wilson"
"Venomous River Inn","Anna Wilson"
"Discreet Elderberry Pub","Annamarie Dimond"
"Different Kumquat Pub","Annamarie Dimond"
"Dizzy Lemon Lounge","Annamarie Dimond"
"Swift Angels Pub","Anne Berry"
"Tacky Lyre Pub","Anne Berry"
"Tasty Fairy Tavern","Anne Berry"
"Fluffy Husband","Anne Britt"
"Fearless Drum Bar","Anne Britt"
"Foamy Cave","Anne Britt"
"Dandy Cloud Bistro","Anne Christ"
"Deep Flute Bar","Anne Christ"
"Assorted Dandelion Bar","Anne Darden"
"Armed Pudding Bar","Anne Darden"
"Teeny Gauntlet Bar","Anne Gomez"
"Triangular Pegasus Inn","Anne Gomez"
"Thundering Table Inn","Anne Gomez"
"Interesting Trumpet Inn","Anne Jennings"
"Sour Axe Bar","Anne Marshall"
"Spicy Cats Tavern","Anne Marshall"
"Wretched Grape Inn","Anne Mccain"
"Atomic Liquors","Anne Mclennan"
"Armed Pudding Bar","Anne Mclennan"
"Assorted Dandelion Bar","Anne Mclennan"
"Perfect Rabbit Tavern","Anne Nabors"
"Poor Bats Inn","Anne Nabors"
"Pleasant Parrot Tavern","Anne Nabors"
"Famous Tiger Pub","Anne Oconnell"
"Fascinated Demon Pub","Anne Oconnell"
"Diamond Turtle Inn","Anne Oktavec"
"Deep Glass Bar","Anne Oktavec"
"Deep Lantern","Anne Oktavec"
"Wretched Grape Inn","Anne Roper"
"Wild Hag Bar","Anne Roper"
"Windy Harp","Anne Roper"
"Windy Harp","Anne Swalley"
"Wretched Grape Inn","Anne Swalley"
"Wild Hag Bar","Anne Swalley"
"Wicked Stream","Anne Tappen"
"Unusual Truffle","Anne Tappen"
"Venomous River Inn","Anne Tappen"
"Busy Bachelor Bar","Anne Tomlinson"
"Clever Child","Anne Turner"
"Chunky Hawks Tavern","Anne Turner"
"Hungry Turtle Pub","Anne Vantassel"
"Hungry Vanilla Bean Tavern","Anne Vantassel"
"Iron Tigress Inn","Anne Varden"
"Molten Ants Bar","Anne Williams"
"Deep Lantern","Anneliese Heath"
"Diamond Turtle Inn","Anneliese Heath"
"Laughing Elephant Tavern","Annette Eckles"
"Tacky Lyre Pub","Annette Heredia"
"Tasty Fairy Tavern","Annette Heredia"
"Swift Angels Pub","Annette Heredia"
"Proud Spiders","Annette Mast"
"Purple Pint Bar and Grille","Annette Mast"
"Wild Hag Bar","Annette Walker"
"Wretched Grape Inn","Annette Walker"
"Itchy Cheetah Bar","Annice Killion"
"Ivory Lamb Pub","Annice Killion"
"Awful Salmon Bar","Annie Carter"
"Oceanic Knight Inn","Annie Ester"
"Teeny Gauntlet Bar","Annie Franco"
"Double Swan Tavern","Annie Mccurdy"
"Awful Salmon Bar","Annie Moore"
"Peaceful Bison","Annie Mora"
"Parallel Pegasus Bar","Annie Mora"
"Overrated Pigeons Pub","Annie Mora"
"Hoppy Apple Brewhouse","Annie Soto"
"Hungry Skunks Bar","Annie Soto"
"Pleasant Parrot Tavern","Annie Whitaker"
"Admiral Benbow Inn","Annie Xiong"
Anchor,"Annie Xiong"
"Absent Snow","Annie Xiong"
"Brave Olive Pub","Anthony Aivao"
"Busy Bachelor Bar","Anthony Aivao"
"Dizzy Lemon Lounge","Anthony Basham"
"Discreet Elderberry Pub","Anthony Basham"
"Different Kumquat Pub","Anthony Basham"
"Impossible Fire","Anthony Boyd"
"Proud Spiders","Anthony Brown"
"Magnificent Dark Elf Bar","Anthony Burroughs"
"Lying Explorer Tavern","Anthony Burroughs"
"Spinning Nomad Ale House","Anthony Byfield"
"Ugliest Pants Tavern","Anthony Carter"
"Uneven Ants Tavern","Anthony Carter"
"Twelve Spider Inn","Anthony Carter"
"Hungry Turtle Pub","Anthony Cox"
"Hungry Vanilla Bean Tavern","Anthony Cox"
"Iron Turkey","Anthony Dodd"
"Blue City","Anthony Garcia"
"Brave Olive Pub","Anthony Garcia"
"Busy Bachelor Bar","Anthony Garcia"
"Shouting Snake Inn","Anthony Gilliard"
"Skinny Guitar","Anthony Gilliard"
"Shattered Oak","Anthony Gilliard"
"Hypnotic Gate Tavern","Anthony Greer"
"Steel Elf","Anthony Haney"
"Spirited Brew Saloon","Anthony Haney"
"Assorted Dandelion Bar","Anthony Howerton"
"Atomic Liquors","Anthony Howerton"
"Armed Pudding Bar","Anthony Howerton"
"Hoppy Apple Brewhouse","Anthony Jackson"
"Hungry Skunks Bar","Anthony Jackson"
"Rainy Lime Tavern","Anthony Johnson"
"Outrageous Sailboat Inn","Anthony Ledet"
"Original Horse Brewpub","Anthony Ledet"
"Busy Bachelor Bar","Anthony Mancuso"
"Double Swan Tavern","Anthony Mangham"
"Drab Parrots Pub","Anthony Mangham"
"Dramatic Crabs","Anthony Mangham"
"Fearless Drum Bar","Anthony Mills"
"Overrated Pigeons Pub","Anthony Mitchell"
"Parallel Pegasus Bar","Anthony Mitchell"
"Perfect Rabbit Tavern","Anthony Pattison"
"Pleasant Parrot Tavern","Anthony Pattison"
"Poor Bats Inn","Anthony Pattison"
"Diamond Turtle Inn","Anthony Phillips"
"Deep Glass Bar","Anthony Phillips"
"Poor Bats Inn","Anthony Raiola"
"Organic Buffalo Bar","Anthony Robinson"
"Sweet And Sour Castle Bar","Anthony Rodriguez"
"Sudden Octopus","Anthony Rodriguez"
"Armed Pudding Bar","Anthony Salinas"
"Assorted Dandelion Bar","Anthony Salinas"
"Venomous River Inn","Anthony Sheldon"
"Itchy Cheetah Bar","Anthony Sidhu"
"Iron Turkey","Anthony Sidhu"
"Ivory Lamb Pub","Anthony Sidhu"
"Laughing Elephant Tavern","Anthony Smith"
"Little Elixir Club","Anthony Smith"
"Latino Magpie","Anthony Smith"
"Sour Axe Bar","Anthony Spina"
"Spicy Cats Tavern","Anthony Spina"
"Crooked Sailor Ale House","Anthony Stauber"
"Natural Squash Tavern","Anthony Turner"
"Naughty Bean Inn","Anthony Turner"
"Needy Mind Tavern","Anthony Turner"
"Courageous Melon","Anthony Weiland"
"Crooked Sailor Ale House","Anthony Weiland"
"Courageous Lyre Bar","Anthony Weiland"
"Smelly Crane Tavern","Anthony Wilborn"
"Little Elixir Club","Anthony Yaiva"
"Jealous Fiddle Pub","Antione Hollyfield"
"Jaded Pants Pub","Antione Hollyfield"
"Keen Snail Bar","Antione Hollyfield"
"Hoppy Apple Brewhouse","Antoinette Brown"
"Hungry Skunks Bar","Antoinette Brown"
"Hot Cup Inn","Antoinette Brown"
"Original Horse Brewpub","Antoinette Monroe"
"Outrageous Sailboat Inn","Antoinette Monroe"
"Gray City","Anton Spicer"
"Gypsy Root Roadhouse","Anton Spicer"
"Harsh Flame Tavern","Anton Spicer"
"Perfect Rabbit Tavern","Antonia Hsu"
"Pleasant Parrot Tavern","Antonia Hsu"
"Mixing Demon Pub","Antonia Perez"
"Molten Ants Bar","Antonia Perez"
"Natural Leopard","Antonia Perez"
"Twelve Spider Inn","Antonia Wenstrom"
"Familiar Pony Tavern","Antonietta Collinsworth"
"Iron Tigress Inn","Antonio Brown"
"Interesting Trumpet Inn","Antonio Brown"
"Peaceful Bison","Antonio Gurney"
"Overrated Pigeons Pub","Antonio Gurney"
"Parallel Pegasus Bar","Antonio Gurney"
"Familiar Pony Tavern","Antonio Horton"
"Hypnotic Gate Tavern","Antonio Howard"
"Deep Flute Bar","Antonio Mills"
"Daily Barracuda Inn","Antonio Mills"
"Atomic Liquors","Antonio Morgan"
"Assorted Dandelion Bar","Antonio Morgan"
"Armed Pudding Bar","Antonio Morgan"
"Natural Squash Tavern","Antonio Putnam"
"Needy Mind Tavern","Antonio Putnam"
"Naughty Bean Inn","Antonio Putnam"
"Tasty Fairy Tavern","Antonio Rhodes"
"Fluffy Husband","Antonio Rowden"
"Wrong Whip Bar","Antonio Wert"
"Ye Olde Lord Bar","Antonio Wert"
"Nifty Branch Inn","April Anderson"
"Double Swan Tavern","April Chatcho"
"Perfect Rabbit Tavern","April Ferris"
"Bloody Lady","April Flores"
"Thundering Table Inn","April Hudson"
"Triangular Pegasus Inn","April Hudson"
"Regular Drum Tavern","April Jones"
"Rich Tauren Bar","April Jones"
"Responsible Chair","April Jones"
"Ruthless Chestnut","April Pemberton"
"Rusty Sailor Outpost","April Pemberton"
"Famous Tiger Pub","April Riddle"
"Parallel Pegasus Bar","April Robinson"
"Overrated Pigeons Pub","April Robinson"
"Nervous Jaguar Inn","April Villanvera"
"Nervous Mountain Inn","April Villanvera"
"New Spider Bar","April Villanvera"
"Spicy Cats Tavern","Araceli Hurlock"
"Spinning Nomad Ale House","Araceli Hurlock"
"Chubby Badger Pub","Ardella Ellzey"
"Cheap Vampire","Ardella Ellzey"
"Chinese Oak","Ardella Ellzey"
"Bloody Lady","Ariana Green"
"Awful Salmon Bar","Ariana Green"
"Best Stick Tavern","Ariana Green"
"Scary Kiwi","Ariel Rodrigez"
"Hungry Skunks Bar","Arlene Catron"
"Hot Cup Inn","Arlene Catron"
"Hissing Ocean Bar","Arlene Comley"
"Harsh Flame Tavern","Arlene Wood"
"Gray City","Arlene Wood"
"Gypsy Root Roadhouse","Arlene Wood"
"Real Shark Inn","Arline Chaney"
"Rainy Lime Tavern","Arline Chaney"
"Discreet Elderberry Pub","Arline Leftwich"
"Dizzy Lemon Lounge","Arline Leftwich"
"Different Kumquat Pub","Arline Leftwich"
"Nimble Squash","Armando Jacobson"
"Nimble Stream Pub","Armando Jacobson"
"Diamond Turtle Inn","Armando Thomas"
"Deep Glass Bar","Armando Thomas"
"Deep Lantern","Armando Thomas"
"Organic Buffalo Bar","Armando Ziad"
"Gifted Pillow Inn","Arnold Anderson"
"Full Guitar","Arnold Anderson"
"Gifted Zebra Tavern","Arnold Anderson"
"Armed Pudding Bar","Arnold Bell"
"Little Elixir Club","Arnold Frazier"
"Latino Magpie","Arnold Frazier"
"Swift Angels Pub","Arnold Latus"
"Tasty Fairy Tavern","Arnold Latus"
"Tacky Lyre Pub","Arnold Latus"
"Laughing Elephant Tavern","Arnold Tate"
"Latino Magpie","Arnold Tate"
"Hypnotic Gate Tavern","Arnoldo Hill"
"Uneven Ants Tavern","Aron Perrin"
"Hungry Vanilla Bean Tavern","Arthur Bouldin"
"Hungry Turtle Pub","Arthur Bouldin"
"Hypnotic Gate Tavern","Arthur Bouldin"
"Spirited Brew Saloon","Arthur Brown"
"Steel Elf","Arthur Brown"
"Steel Yew","Arthur Brown"
"Laughing Elephant Tavern","Arthur Browning"
"Organic Buffalo Bar","Arthur Fabre"
"Oceanic Knight Inn","Arthur Fabre"
"Oceanic Woodpecker Inn","Arthur Fabre"
"Deep Flute Bar","Arthur Goldsmith"
"Dandy Cloud Bistro","Arthur Goldsmith"
"Daily Barracuda Inn","Arthur Goldsmith"
"Hidden Table Brewpub","Arthur Grissinger"
"Hissing Ocean Bar","Arthur Grissinger"
"Hidden Lady Parlor","Arthur Grissinger"
"Rainy Lime Tavern","Arthur Hale"
"Wretched Grape Inn","Arthur Jones"
"Iron Library Tavern","Arthur Moore"
"Lively Elf","Arthur Moser"
"Unusual Truffle","Arthur Plante"
"Wicked Stream","Arthur Plante"
"Venomous River Inn","Arthur Plante"
"Proud Spiders","Arthur Pressly"
"Psychotic Seadog","Arthur Pressly"
"Purple Pint Bar and Grille","Arthur Pressly"
"Lively Elf","Arthur Roberts"
"Lonely Snowdrop","Arthur Roberts"
"Loud Elderberry Bar","Arthur Roberts"
"Hot Cup Inn","Arthur Rogers"
"Hoppy Apple Brewhouse","Arthur Rogers"
"Hungry Skunks Bar","Arthur Rogers"
"Bloody Lady","Arthur Scott"
"Awful Salmon Bar","Arthur Scott"
"Best Stick Tavern","Arthur Scott"
"Sudden Octopus","Arthur Segovia"
"Sudden Dragon Bar","Arthur Segovia"
"Russian Otter Pub","Arthur Smith"
"Rusty Sailor Outpost","Arthur Smith"
"Laughing Elephant Tavern","Arthur Taylor"
"Deep Flute Bar","Arthur Terry"
"Ivory Lamb Pub","Arthur Thompson"
"Itchy Cheetah Bar","Arthur Thompson"
"Iron Turkey","Arthur Thompson"
"Ruthless Chestnut","Arthur Vandiford"
"Rusty Sailor Outpost","Arthur Vandiford"
"Sore Head","Arthur Whelton"
"Snobbish Jackal Inn","Arthur Whelton"
"Wicked Stream","Arthur White"
"Venomous River Inn","Arthur White"
"Hidden Table Brewpub","Arthur Williams"
"Hidden Lady Parlor","Arthur Williams"
"Shattered Oak","Arturo Brown"
"Skinny Guitar","Arturo Brown"
"Shouting Snake Inn","Arturo Brown"
"Original Acorn Roadhouse","Arturo Cimini"
"Original Horse Brewpub","Arturo Cimini"
"Shattered Oak","Arturo Lockwood"
"Skinny Guitar","Arturo Lockwood"
"Real Shark Inn","Asa Ketron"
"Rainy Lime Tavern","Asa Ketron"
"Latino Magpie","Asha Austin"
"Hidden Lady Parlor","Ashanti Phinney"
